"name","MW","RT","INCHIKEY"
" N-ACETYLSERINE_JJIHLJJYMXLCOY-BYPYZUCNSA-N"," 147.0532"," 7.47","JJIHLJJYMXLCOY-BYPYZUCNSA-N"
" (S)-Abscisic acid_JLIDBLDQVAYHNE-IBPUIESWSA-N"," 264.1362"," 0.72","JLIDBLDQVAYHNE-IBPUIESWSA-N"
" N1-Methyl-2-pyridone-5-carboxamide_JLQSXXWTCJPCBC-UHFFFAOYSA-N"," 152.0586"," 0.94","JLQSXXWTCJPCBC-UHFFFAOYSA-N"
" Syringic acid_JMSVCTWVEWCHDZ-UHFFFAOYSA-N"," 198.0528"," 0.84","JMSVCTWVEWCHDZ-UHFFFAOYSA-N"
" Syringic acid_JMSVCTWVEWCHDZ-UHFFFAOYSA-N"," 198.0528"," 0.83","JMSVCTWVEWCHDZ-UHFFFAOYSA-N"
" Threonic acid_JPIJQSOTBSSVTP-UHFFFAOYSA-N"," 136.0372"," 7.25","JPIJQSOTBSSVTP-UHFFFAOYSA-N"
" N2-Acetylornithine_JRLGPAXAGHMNOL-LURJTMIESA-N"," 174.1004"," 8.15","JRLGPAXAGHMNOL-LURJTMIESA-N"
" UREIDOPROPIONATE_JSJWCHRYRHKBBW-UHFFFAOYSA-N"," 132.0535"," 3.97","JSJWCHRYRHKBBW-UHFFFAOYSA-N"
" 3-Indolebutyric acid_JTEDVYBZBROSJT-UHFFFAOYSA-N"," 203.0946"," 0.82","JTEDVYBZBROSJT-UHFFFAOYSA-N"
" Hydroxytyrosol_JUUBCHWRXWPFFH-UHFFFAOYSA-N"," 154.0630"," 0.90","JUUBCHWRXWPFFH-UHFFFAOYSA-N"
" HYDROXYPHENYLLACTATE_JVGVDSSUAVXRDY-UHFFFAOYSA-N"," 182.0579"," 6.74","JVGVDSSUAVXRDY-UHFFFAOYSA-N"
" Asiatic acid_JXSVIVRDWWRQRT-UYDOISQJSA-N"," 488.3502"," 0.94","JXSVIVRDWWRQRT-UYDOISQJSA-N"
" 2-Hydroxymyristic acid_JYZJYKOZGGEXSX-UHFFFAOYSA-N"," 244.2038"," 1.26","JYZJYKOZGGEXSX-UHFFFAOYSA-N"
" 8-Hydroxyoctanoate_KDMSVYIHKLZKET-UHFFFAOYSA-N"," 160.1099"," 0.81","KDMSVYIHKLZKET-UHFFFAOYSA-N"
" LYSINE_KDXKERNSBIXSRK-YFKPBYRVSA-N"," 146.1055"," 9.42","KDXKERNSBIXSRK-YFKPBYRVSA-N"
" DEOXYADENOSINE MONOPHOSPHATE_KHWCHTKSEGGWEX-RRKCRQDMSA-N"," 331.0682"," 8.44","KHWCHTKSEGGWEX-RRKCRQDMSA-N"
" 2-Hydroxystearate_KIHBGTRZFAVZRV-KRWDZBQOSA-N"," 300.2664"," 1.24","KIHBGTRZFAVZRV-KRWDZBQOSA-N"
" MEVALONATE_KJTLQQUUPVSXIM-UHFFFAOYSA-N"," 148.0736"," 1.95","KJTLQQUUPVSXIM-UHFFFAOYSA-N"
" 4-Hydroxyphenylpyruvic acid_KKADPXVIOXHVKN-UHFFFAOYSA-N"," 180.0423"," 0.82","KKADPXVIOXHVKN-UHFFFAOYSA-N"
